_id,video_id,video_title,video_description,video_tag,video_length,video_likes,channel_title,__v
67543aa82442a0b834eca2a5,Z2spEY55O9c,To make arm biggier! The man doing Hometraining! #shorts #workout #홈트레이닝 #fitness #팔운동,,팔 홈트레이닝 | Arms Home Training,16,5,바디쉡 bodychef,0
67543aa82442a0b834eca2a6,QXSBxoR5F_g,Dumbbell lateral raise tips:,1. Thumbs-up Grip: Hold the dumbbells with your thumbs on top for better shoulder comfort and reduce forearm involvement. 2.,팔 홈트레이닝 | Arms Home Training,12,1312,ArielYu_Fit,0
67543aa82442a0b834eca2a7,JKtZojixtio,#foryou #fyp #추천 #fypシ #foryoupage #FitTok #hometraining #홈트 #홈트레이닝 #shoulderworkout #어깨운동 #widefram,,팔 홈트레이닝 | Arms Home Training,17,0,Gymtoday,0
67543aa82442a0b834eca2a8,XWGJrq-O7W0,가슴 크기 늘리기! 홈트레이닝하는 남자! #shorts #homegym #hometraining #홈트레이닝 #홈짐,,팔 홈트레이닝 | Arms Home Training,17,4,바디쉡 bodychef,0
67543aa82442a0b834eca2a9,wEyYbA_bj7w,(일상짤)코로나 홈트레이닝 가슴운동 벤치프레스 Home training bench press,,팔 홈트레이닝 | Arms Home Training,51,6,즐거운 일상,0
67543aa82442a0b834eca2aa,rCFnbOE9V3E,#홈트레이닝 #격투기 #Home training #martialarts,,팔 홈트레이닝 | Arms Home Training,24,0,승리tv,0
67543aa82442a0b834eca2ab,3Pr6n-nKfMA,Tight Core &amp; Arms Workout | 2 Weeks Shred Challenge,"Time to tighten up your core, and work on building those sexy arms of yours in the final episode of my 2 weeks challenge.",팔 홈트레이닝 | Arms Home Training,776,444444,Chloe Ting,0
67543aa82442a0b834eca2ac,bWzM6Jz9x2A,The Best Dumbbell Triceps Exercises (Science-Based),The Best Dumbbell Triceps Exercises (Science-Based) #arm workout #arms workout #best tricep exercises #bicep workout ...,팔 홈트레이닝 | Arms Home Training,6,0,FITNESSM_AAKASH,0
67543aa82442a0b834eca2ad,toZua0COLfY,💪body Kaise 🧌banana 🔥hai body exercise  body #body  #bananebody # ka tarikabody kaise banaye #shorts,body Kaise banana haidesi gym #desisix pack workout gym #fitness #desi gym #fitness #shorts #viral #viralshorts body ...,팔 홈트레이닝 | Arms Home Training,7,0,fitness lover  777,0
67543aa82442a0b834eca2ae,Yaio-Pwy89U,근데 이거 이렇게 하는게 맞나요..??   #hometraining #workout #알파메일 #운동하는남자 #자기계발 #집운동 #홈트 #홈트레이닝,,팔 홈트레이닝 | Arms Home Training,33,1,오버맨 Übermensch,0
67543aa82442a0b834eca2af,g1E2Tasqog4,30-Minute No-Equipment Arms and Abs Workout,Your arms and abs will be feeling tight and toned after fitness and dance expert Nicole Steen works them in this 30-minute routine!,팔 홈트레이닝 | Arms Home Training,1816,27282,PS Fit ,0
67543aa82442a0b834eca2b0,8_DL-32kxKo,#홈트레이닝 #홈트다이어트 #hometraining #뱃살운동 #workoutathome #homeworkout  #팔뚝살 #유산소운동 #workout #오운완 #스트레칭,"하루에 딱 100개씩만 하면 늘어진 뱃살, 팔뚝살, 허리 기립근까지강화되는 전신운동이에요!   매일매일 실천해서 오늘도 건강하게 ...",팔 홈트레이닝 | Arms Home Training,13,10,짝하쀼JJAKHABBU,0
